iteration,curr_best,new_sol_score,curr_temp
69,1292514,1294652,729.7866676946247
70,1294652,1296697,727.4953769754854
71,1296697,1296697,725.2506145435589
72,1296697,1296697,723.0507586433839
73,1296697,1296697,720.8942665598686
74,1296697,1296697,718.7796697085033
75,1296697,1296697,716.705569094115
76,1296697,1296697,714.670631105874
77,1296697,1296697,712.6735836194885
78,1296697,1296697,710.7132123803801
79,1296697,1298139,708.788357644185
80,1298139,1298139,706.8979110531917
81,1298139,1298139,705.0408127293585
82,1298139,1299385,703.2160485663574
83,1299385,1299385,701.4226477047191
84,1299385,1299385,699.6596801756067
85,1299385,1299385,697.9262547000459
86,1299385,1299385,696.2215166316189
87,1299385,1299385,694.5446460316837
88,1299385,1299385,692.8948558671295
89,1299385,1299385,691.2713903215425
90,1299385,1299385,689.6735232114287
91,1299385,1299385,688.1005564998453
92,1299385,1299385,686.5518189004283
93,1299385,1300671,685.0266645653782
94,1300671,1300671,683.5244718514905
95,1300671,1300671,682.0446421587975
96,1300671,1300671,680.586598836812
97,1300671,1300671,679.1497861537655
98,1300671,1300671,677.7336683245912
99,1300671,1300671,676.3377285937262
100,1300671,1300671,674.9614683691099
101,1300671,1300671,673.6044064040325
102,1300671,1300671,672.2660780237288
103,1300671,1300671,670.9460343938531
104,1300671,1300671,669.6438418281733
105,1300671,1300671,668.3590811330198
106,1300671,1300671,667.0913469861994
107,1300671,1303190,665.8402473482495
108,1303190,1303190,664.605402904059
109,1303190,1303190,663.3864465330134
110,1303190,1309345,662.1830228059607
111,1309345,1309345,660.9947875073999
112,1309345,1309345,659.8214071814101
113,1309345,1315752,658.6625586999357
114,1315752,1315752,657.5179288521358
115,1315752,1315752,656.3872139535894
116,1315752,1315752,655.2701194742319
117,1315752,1315752,654.1663596839672
118,1315752,1315752,653.0756573149695
119,1315752,1315752,651.9977432397509
120,1315752,1315752,650.932356164133
121,1315752,1315752,649.879242334309
122,1315752,1315752,648.8381552572375
123,1315752,1315752,647.8088554336575
124,1315752,1315752,646.7911101030508
125,1315752,1315752,645.7846929999283
126,1315752,1315752,644.7893841208461
127,1315752,1315752,643.8049695015972
128,1315752,1315752,642.8312410040567
129,1315752,1315752,641.8679961121896
130,1315752,1315752,640.9150377367561
131,1315752,1315752,639.9721740282798
132,1315752,1315752,639.0392181978694
133,1315752,1315752,638.1159883455018
134,1315752,1315752,637.2023072954058
135,1315752,1315752,636.298002438199
136,1315752,1315752,635.4029055794509
137,1315752,1315752,634.5168527943682
138,1315752,1315752,633.6396842883069
139,1315752,1315752,632.7712442628391
140,1315752,1315752,631.9113807871141
141,1315752,1315752,631.0599456742659
142,1315752,1315762,630.2167943626367
143,1315762,1315762,629.3817858015929
144,1315762,1316874,628.5547823417268
145,1316874,1316874,627.7356496292448
146,1316874,1316874,626.9242565043543
147,1316874,1316874,626.1204749034714
148,1316874,1316874,625.3241797650799
149,1316874,1316874,624.535248939081
150,1316874,1316874,623.7535630994829
151,1316874,1316874,622.9790056602831
152,1316874,1316874,622.2114626944069
153,1316874,1316874,621.450822855573
154,1316874,1316874,620.6969773029591
155,1316874,1316874,619.9498196285505
156,1316874,1316874,619.2092457870596
157,1316874,1316874,618.4751540283092
158,1316874,1316874,617.7474448319771
159,1316874,1316874,617.0260208446032
160,1316874,1316874,616.3107868187714
161,1316874,1316874,615.601649554373
162,1316874,1316874,614.8985178418702
163,1316874,1316874,614.2013024074784
164,1316874,1316874,613.5099158601923
165,1316874,1316874,612.824272640581
166,1316874,1316874,612.1442889712836
167,1316874,1316874,611.4698828091385
168,1316874,1316874,610.8009737988829
169,1316874,1316874,610.1374832283609
170,1316874,1318458,609.4793339851846
171,1318458,1318458,608.8264505147896
172,1318458,1318458,608.1787587798352
173,1318458,1321988,607.5361862208957
174,1321988,1321988,606.8986617183954
175,1321988,1321988,606.2661155557424
